Timestamp (ms),Accel X,Accel Y,Accel Z
558296,0.62,0.14,-0.9
558317,0.55,0.12,-0.89
558338,0.38,0.16,-0.88
558359,0.35,0.18,-0.88
558380,0.4,0.17,-0.9
558401,0.49,0.15,-0.91
558422,0.53,0.09,-0.94
558443,0.48,0.1,-0.96
558464,0.46,0.13,-0.93
558485,0.43,0.14,-0.91
558506,0.4,0.15,-0.92
558527,0.45,0.12,-0.92
558548,0.6,0.08,-0.91
558569,0.4,0.11,-0.91
558590,0.13,0.18,-0.9
558611,0.46,0.19,-0.91
558632,0.97,0.07,-0.89
558653,0.76,0.04,-0.94
558674,0.12,0.11,-0.95
558695,0.13,0.23,-0.92
558716,0.43,0.24,-0.87
558737,0.78,0.1,-0.9
558758,0.58,0.04,-0.95
558779,0.35,0.11,-0.96
558800,0.28,0.2,-0.9
558821,0.51,0.2,-0.86
558842,0.56,0.14,-0.87
558863,0.38,0.12,-0.9
558884,0.32,0.15,-0.9
558905,0.4,0.18,-0.9
558926,0.78,0.09,-0.89
558947,0.63,0.05,-0.94
558968,0.26,0.12,-0.93
558989,0.4,0.21,-0.89
559010,0.6,0.17,-0.85
559031,0.93,0.08,-0.84
559052,0.46,0.09,-0.87
559073,-0.07,0.21,-0.98
559094,0.23,0.24,-0.97
559115,0.47,0.13,-0.94
559136,0.58,0.09,-0.93
559157,0.4,0.13,-0.97
559178,0.32,0.15,-0.93
559199,0.53,0.18,-0.91
559220,0.51,0.16,-0.93
559241,0.46,0.13,-0.91
559262,0.47,0.16,-0.92
559283,0.33,0.17,-0.91
559304,0.5,0.17,-0.89
559325,0.57,0.13,-0.88
559346,0.53,0.15,-0.9
559367,0.39,0.19,-0.91
559388,0.4,0.22,-0.94
559409,0.36,0.22,-0.94
559430,0.49,0.13,-0.94
559451,0.49,0.12,-0.96
559472,0.44,0.11,-0.95
559493,0.44,0.11,-0.93
559514,0.43,0.14,-0.91
559535,0.48,0.15,-0.9
559556,0.51,0.14,-0.9
559577,0.42,0.15,-0.9
559598,0.45,0.16,-0.91
559619,0.45,0.14,-0.92
559640,0.55,0.11,-0.92
559661,0.46,0.12,-0.91
559682,0.28,0.17,-0.89
559703,0.47,0.21,-0.93
559724,0.72,0.13,-0.93
559745,0.54,0.06,-0.94
559766,0.04,0.13,-0.94
559787,0.22,0.21,-0.89
559808,0.42,0.22,-0.85
559829,0.7,0.16,-0.85
559850,0.66,0.03,-0.9
559871,0.09,0.06,-0.92
559892,-0.09,0.28,-0.89
559913,0.97,0.29,-0.86
559934,1.06,0.05,-0.85
559955,0.6,-0.03,-0.96
559976,0.04,0.07,-0.98
559997,0.46,0.24,-0.91
560018,0.64,0.23,-0.85
560039,0.52,0.14,-0.9
560060,0.32,0.1,-0.93
560081,0.31,0.13,-0.93
560102,0.51,0.16,-0.9
560123,0.49,0.14,-0.91
560144,0.52,0.12,-0.91
560165,0.49,0.1,-0.93
560186,0.39,0.14,-0.92
560207,0.46,0.16,-0.91
560228,0.55,0.13,-0.91
560249,0.51,0.12,-0.92
560270,0.48,0.13,-0.92
560291,0.45,0.14,-0.92
560312,0.44,0.15,-0.91
560333,0.45,0.15,-0.91
560354,0.42,0.14,-0.93
560375,0.43,0.13,-0.93
560396,0.43,0.13,-0.94
560417,0.45,0.13,-0.92
560438,0.42,0.15,-0.9
560459,0.46,0.16,-0.91
560480,0.5,0.13,-0.91
560501,0.43,0.1,-0.91
560522,0.45,0.18,-0.92
560543,0.7,0.13,-0.94
560564,0.7,0.03,-0.94
560585,0.32,0.07,-0.95
560606,0.21,0.14,-0.94
560627,0.37,0.2,-0.92
560648,0.52,0.16,-0.88
560669,0.36,0.14,-0.85
560690,0.24,0.19,-0.86
560711,0.44,0.19,-0.87
560732,0.46,0.14,-0.88
560753,0.61,0.12,-0.89
560774,0.42,0.14,-0.91
560795,0.54,0.15,-0.93
560816,0.45,0.12,-0.91
560837,0.15,0.19,-0.92
560858,0.49,0.2,-0.91
560879,0.59,0.12,-0.91
560900,0.88,0.1,-0.92
560921,0.85,0.01,-0.91
560942,0.35,0.09,-0.89
560963,0.22,0.2,-0.87
560984,0.35,0.24,-0.85
561005,0.52,0.11,-0.85
561026,0.5,0.08,-0.91
561047,0.43,0.05,-0.94
561068,0.38,0.11,-0.93
561089,0.54,0.16,-0.9
561110,0.53,0.12,-0.89
561131,0.43,0.13,-0.91
561152,0.5,0.11,-0.9
561173,0.58,0.09,-0.9
561194,0.37,0.11,-0.91
561215,0.49,0.08,-0.91
561236,0.55,0.06,-0.87
561257,0.58,0.12,-0.88
561278,0.61,0.12,-0.88
561299,0.57,0.13,-0.89
561320,0.41,0.16,-0.9
561341,0.6,0.16,-0.9
561362,0.56,0.1,-0.9
561383,0.51,0.1,-0.91
561404,0.45,0.13,-0.91
561425,0.49,0.13,-0.89
561446,0.48,0.13,-0.9
561467,0.51,0.13,-0.9
561488,0.49,0.13,-0.89
561509,0.49,0.13,-0.89
561530,0.41,0.14,-0.9
561551,0.43,0.15,-0.9
561572,0.49,0.13,-0.9
561593,0.52,0.12,-0.9
561614,0.47,0.12,-0.91
561635,0.36,0.12,-0.9
561656,0.28,0.13,-0.89
561677,0.5,0.12,-0.87
561698,0.53,0.1,-0.9
561719,0.39,0.11,-0.91
561740,0.36,0.12,-0.87
561761,0.38,0.18,-0.87
561782,0.6,0.13,-0.85
561803,0.81,0.03,-0.87
561824,0.88,-0.01,-0.92
561845,0.71,0.02,-0.94
561866,0.53,0.07,-0.92
561887,0.21,0.17,-0.89
561908,0.38,0.25,-0.86
561929,0.61,0.16,-0.82
561950,0.63,0.08,-0.87
561971,0.46,0.07,-0.92
561992,0.23,0.13,-0.91
562013,0.58,0.19,-0.86
562034,0.78,0.11,-0.81
562055,0.61,0.06,-0.86
562076,0.46,0.1,-0.9
